SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
94004,125.325,98.06,61.86,47.015,42.8,-0.06,-0.22,-0.405,-0.485,-0.73,13.155,7.195,-3.73,-10.865,-12.555,6.0600000000000005,5.32,4.43,18.16,21.785,13.365,5.220000000000001,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94005,114.83,91.44,62.52,52.760000000000005,49.805,1.87,1.065,-0.505,-1.35,-1.725,19.165,9.77,-6.3100000000000005,-14.175,-15.195,6.015,4.475,3.775,18.97,19.405,9.085,5.545,65.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94006,94.035,79.94,66.005,63.395,61.56,4.845,2.335,-1.465,-2.83,-3.11,12.655,1.84,-10.945,-14.765,-14.595,6.29,3.035,2.55,23.755,10.08,2.27,5.405,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96001,133.875,103.5,60.035,38.23,31.125,-0.44,-0.44,-0.49,-0.44,-0.525,-0.135,-1.205,-1.16,-0.835,-0.84,5.975,5.88,5.6,15.615,23.61,17.685,5.09,94.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0
96002,130.89,100.835,58.385,36.650000000000006,29.17,-0.385,-0.395,-0.46,-0.35,-0.4,-0.03,-1.08,-1.0550000000000002,-0.625,-0.54,6.145,5.92,5.42,15.77,23.795,18.28,5.31,86.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.38,0.0,0.0,0.0,0.0,0.0,0.0
96003,122.075,95.365,56.57,35.56,27.54,-0.285,-0.305,-0.395,-0.25,-0.245,0.22,-0.785,-0.92,-0.38,-0.2,6.404999999999999,6.275,5.94,18.71,25.79,19.645,5.955,75.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.59,0.0,0.0,0.0,0.0,0.0,0.0
96004,110.905,84.125,48.155,28.99,21.16,-0.07,-0.165,-0.3,-0.0849999999999999,-0.025,0.67,-0.495,-0.725,0.03,0.31,6.495,5.525,4.76,20.06,24.29,17.835,6.785,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.46,0.0,0.0,0.0,0.0,0.0,0.0
96005,84.30000000000001,63.885000000000005,36.71,21.965,15.345,0.235,0.055,-0.13,0.07,0.16,1.215,0.08,-0.36,0.36,0.635,7.4,5.565,5.62,27.165,27.475,20.065,8.065000000000001,25.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.59,0.0,0.0,0.0,0.0,0.0,0.0
98001,133.155,103.19,59.93,37.81,30.5,-0.455,-0.445,-0.49,-0.43,-0.525,0.57,-0.5,-0.59,-0.215,-0.08,6.199999999999999,6.234999999999999,5.845,16.5,24.1,18.735,5.21,93.78,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98002,129.91,100.36,57.775,35.474999999999994,27.72,-0.4,-0.395,-0.425,-0.335,-0.39,1.63,0.4499999999999999,0.145,0.55,0.785,6.5600000000000005,6.39,6.205,17.255000000000003,24.755000000000003,19.88,5.455,85.39,0.0,0.0,0.0,0.0,0.0,0.0,14.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98003,126.1,96.725,54.47,31.81,23.715,-0.325,-0.335,-0.34,-0.21,-0.225,2.975,1.66,1.01,1.3050000000000002,1.535,6.42,6.12,5.835,17.335,25.16,20.465000000000003,5.85,73.47,0.0,0.0,0.0,0.0,0.0,0.0,26.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98004,111.55,83.955,45.56,24.33,16.345,-0.01,-0.0849999999999999,-0.125,0.0,0.04,6.140000000000001,4.4,2.79,2.335,2.21,7.029999999999999,6.26,5.619999999999999,20.385,26.24,21.605,7.025,48.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98005,89.415,64.925,32.43,14.625,8.015,0.405,0.27,0.135,0.14,0.065,8.575,6.395,3.85,2.41,1.78,7.324999999999999,5.9,5.945,25.295,28.1,21.67,8.29,23.53,0.0,0.0,0.0,0.0,0.0,0.0,76.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CMR02,43.45,34.01,17.51,5.58,2.67,0.57,0.5,0.31,0.1,0.01,6.22,5.27,3.55,1.23,0.28,7.49,5.42,4.94,31.17,32.48,18.18,6.34,0.0,0.0,0.0,0.0,0.0,0.0,7.053,91.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CMR04,61.36,50.92,30.36,13.19,5.98,0.6,0.49,0.29,0.2,0.09,7.37,6.29,4.45,2.74,1.33,6.35,5.23,5.58,24.59,29.02,26.75,7.12,0.0,0.0,0.0,0.0,0.0,0.0,16.777,81.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CMR06,76.66,65.41,41.99,21.29,11.7,0.42,0.34,0.16,0.15,0.14,7.34,6.25,4.45,3.12,2.42,5.86,5.4,5.53,19.96,26.47,25.24,6.87,0.0,0.0,0.0,0.0,0.0,0.0,31.044,67.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CMR08,91.32,79.76,54.52,31.42,20.11,0.06,0.03,-0.12,-0.04,-0.02,5.6,4.69,3.3,2.67,2.47,5.69,5.68,5.48,15.79,22.92,23.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,54.006,43.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CMR10,107.44,97.18,72.38,49.62,38.59,-0.44,-0.43,-0.57,-0.61,-0.69,-0.02,-0.53,-1.01,-1.2,-1.25,5.37,5.26,5.51,13.64,20.32,19.33,5.49,0.0,0.0,0.0,0.0,0.0,0.0,97.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CSC00,130.93,106.36,64.84,39.69,31.53,-0.4,-0.46,-0.58,-0.51,-0.62,0.17,-1.03,-1.35,-1.08,-1.06,5.19,3.63,3.95,8.46,14.7,13.87,3.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CSC05,117.71,102.01,69.76,44.96,35.23,-0.41,-0.42,-0.58,-0.57,-0.66,0.13,-0.64,-1.17,-1.19,-1.17,5.04,4.62,4.85,11.39,18.34,17.34,4.69,0.0,0.0,0.0,0.0,0.0,0.0,98.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CSC10,107.4,97.12,72.41,49.62,38.65,-0.45,-0.44,-0.57,-0.6,-0.69,0.01,-0.51,-0.99,-1.21,-1.25,5.74,5.49,5.43,13.46,20.1,19.54,5.48,0.0,0.0,0.0,0.0,0.0,0.0,97.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717CSC20,98.69,91.24,72.33,53.18,41.85,-0.48,-0.46,-0.59,-0.65,-0.74,-0.09,-0.49,-0.91,-1.22,-1.34,5.14,6.1,5.98,15.73,20.79,20.33,5.9,0.0,0.0,0.0,0.0,0.0,0.0,94.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YMR02,24.39,18.32,7.18,2.15,1.33,8.75,7.38,4.45,0.85,0.24,27.18,22.15,8.6,1.41,0.3,5.47,4.59,2.12,37.39,35.9,8.02,3.86,0.0,7.05,0.0,0.0,0.0,0.0,0.0,91.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YMR04,37.58,30.04,15.46,4.57,2.2,11.67,10.04,6.64,2.53,0.87,37.31,31.98,19.2,4.68,1.45,4.25,4.08,3.88,27.25,32.93,16.38,4.99,0.0,16.78,0.0,0.0,0.0,0.0,0.0,81.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YMR06,50.53,42.17,24.79,9.48,3.99,14.25,12.52,8.64,5.19,2.29,46.54,40.76,27.92,11.48,3.94,3.59,3.93,4.27,19.78,29.92,26.67,5.6,0.0,31.04,0.0,0.0,0.0,0.0,0.0,67.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YMR08,64.31,55.69,36.34,17.48,8.48,16.59,14.95,10.84,7.29,5.56,55.19,49.64,36.05,20.96,10.2,3.08,3.85,4.36,12.96,25.72,27.71,5.23,0.0,54.01,0.0,0.0,0.0,0.0,0.0,43.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YMR10,85.72,75.63,52.53,30.33,19.34,19.93,18.1,13.69,11.39,11.05,67.3,61.04,45.8,31.56,24.06,3.13,3.5,4.37,7.68,19.4,21.99,4.24,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YSC00,100.98,81.64,47.57,24.69,16.45,22.24,18.63,12.31,10.39,10.14,75.52,63.79,41.51,26.73,19.98,4.71,2.75,3.21,9.01,15.44,17.08,2.83,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YSC05,92.25,78.8,50.95,27.68,17.74,21.02,18.49,13.2,10.97,10.77,71.48,62.94,44.44,29.59,22.31,2.98,3.37,4.03,6.13,18.55,20.39,3.68,0.0,98.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YSC10,85.74,75.74,52.67,30.4,19.41,19.96,18.12,13.71,11.39,11.05,67.32,61.1,45.9,31.61,24.08,2.95,3.65,4.3,8.23,18.97,22.08,4.23,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718YSC20,77.33,70.58,53.33,33.88,21.9,18.6,17.44,14.15,12.04,11.43,61.86,57.94,46.75,34.26,26.43,3.12,3.94,4.56,10.16,20.72,23.72,4.93,0.0,94.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CMR02,49.56,37.32,18.27,6.2,2.94,0.62,0.52,0.33,0.12,0.06,6.91,5.69,3.68,1.48,0.46,10.67,9.14,8.58,35.78,31.59,16.86,7.29,7.07,0.0,0.0,0.0,0.0,0.0,0.0,91.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CMR04,67.27,54.85,31.97,14.62,7.23,0.56,0.47,0.29,0.22,0.21,7.72,6.52,4.52,2.86,1.78,9.43,9.28,8.15,31.86,32.13,27.26,7.87,16.81,0.0,0.0,0.0,0.0,0.0,0.0,81.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CMR06,80.87,68.64,43.73,23.35,14.03,0.36,0.28,0.13,0.15,0.17,7.27,6.15,4.33,3.16,2.56,8.36,9.36,8.75,29.02,32.28,28.53,7.68,31.09,0.0,0.0,0.0,0.0,0.0,0.0,67.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CMR08,93.08,81.92,56.81,34.43,23.63,-0.04,-0.05,-0.17,-0.1,-0.06,5.05,4.22,2.95,2.49,2.49,7.31,9.24,9.56,26.62,32.09,27.69,7.48,54.06,0.0,0.0,0.0,0.0,0.0,0.0,43.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CMR10,105.7,95.84,72.44,51.38,41.4,-0.51,-0.48,-0.58,-0.64,-0.74,-0.18,-0.61,-0.96,-1.21,-1.32,7.43,9.08,9.79,23.99,30.16,25.92,7.23,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CSC00,134.52,105.98,62.55,39.96,32.87,-0.46,-0.47,-0.53,-0.5,-0.63,-0.23,-1.21,-1.22,-0.99,-1.05,6.4,6.75,6.45,17.09,25.62,20.43,5.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CSC05,115.93,101.35,70.35,46.99,37.75,-0.48,-0.46,-0.57,-0.59,-0.7,-0.1,-0.72,-1.11,-1.17,-1.23,7.08,8.7,8.47,21.33,29.3,24.77,6.67,98.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CSC10,105.66,95.89,72.4,51.42,41.37,-0.52,-0.48,-0.58,-0.64,-0.74,-0.18,-0.6,-0.96,-1.22,-1.3,7.54,9.08,9.71,24.14,29.48,26.58,7.23,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726CSC20,100.42,92.19,71.98,53.41,43.47,-0.53,-0.48,-0.59,-0.67,-0.75,-0.22,-0.58,-0.9,-1.19,-1.33,7.51,9.22,9.09,25.78,30.36,26.8,7.32,94.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
