SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
MERCEDES-BENZ 986 CK000,69.44,55.2,33.62,21.06,16.33,1.15,1.13,1.28,2.02,2.12,5.66,4.66,3.82,2.5,1.17,5.77,3.14,2.61,20.97,20.66,13.36,7.8,0,0,0,0,0,0,25.40273272,69.72399842,0.341486149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.139941602,0,0,0,0,0,0,0,0,0,0.818343068,0,0,0,0.957394075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616103957
AUDI/VOLKS WAGEN LB6P CK001,107.24,83.49,53.65,39.69,35.06,-16.93,-16.16,-16.37,-17.98,-19.46,3.99,3.22,0.92,-1.63,-2.83,8.78,6.23,4.7,24.51,22.77,13.63,6.06,0,0,0,0,0,39.1997311,16.80166932,6.184584726,0.428555521,0,0,0,0,0,0,0,0,0,0,0,21.02075315,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375627715,0,0,0,0,0,0,0,0,0,0,0,0,0,2.073030773,0,0,0,0,0.317500251,0,0,11.59854745,0,0,0,0
DAIHATSU T32 CK000,73.78,63.08,55.66,54.04,52.12,3.96,2.86,2.31,2.32,2.22,12.7,12.3,12.36,11.08,10.52,8.84,2.61,1.46,26.28,5.87,0.99,4.82,0,0,0,5.836465634,0,25.15717946,10.78164834,21.72594554,4.031167627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38129129,0,0,0,0,0,0,0,0,0,0,6.912800855,0,0,0,0,1.633033307,0,7.54046794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HONDA YR593P CK103,59.93,40.75,17.86,7.62,5.15,6.53,4.78,2.71,1.86,1.03,5.51,3.88,1.44,-0.63,-1.09,15.27,9.81,6.45,34.99,27.25,15.95,8.71,3.090538076,0,0,3.515487061,0,3.515487061,0,76.33629047,0,0,0,8.595036973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.278358931,0,0,1.661085536,0,0,0,0,0,0,0,0,0,0,1.601994104,0,0,0,0,0.405721785,0,0,0,0,0,0,0
MITSUBISHI A99 CK102,88.9,73.48,46.54,26.96,18.98,1.05,0.99,0.86,1.05,1.13,4.27,3.03,0.33,-3,-4.62,9.49,9.36,9.43,26.98,26.56,22.02,6.94,4.33185181,0,0,0,0,18.06570682,17.82610858,40.58109512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.359501337,0,0,0,0,0,0,2.880406402,0,0,0,0,0,0,0,0,0,5.491440982,0,0,1.363292746,0,0,0,0,0,2.100596207,0,0,0,0,0,0,0
NISSAN RBM CK001,94.67,78.5,51.66,35.06,28.75,-23.21,-20.29,-14.5,-10.59,-9.04,-12.14,-13.53,-17.09,-22.47,-24.53,10.67,6.45,5.33,25.42,23.93,19.49,6.27,16.93072184,0,0,13.46798398,0,0,39.42706723,4.454594316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.296085538,0,0,0.423383031,0,0,0,0,0,0,0,0,0,0,11.59698183,0,0,0,0,2.071994908,0,4.331187324,0,0,0,0,0
SUZUKI ZUF CK000,34.28,16.23,3.46,2.04,1.71,7.21,3.93,0.69,0.11,0.02,9.79,5.93,0.69,-0.38,-0.51,32.48,6.27,2.99,29.62,20.27,2.88,7.36,0,0,0.945720671,0.941572773,0,0,0,88.13121155,0.013727603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.765229737,0,0,0,0,0,0,0,2.255076579,0,0,0,0,0,0,0,0,0.809651882,0,0,0,0,0,0,0,0,0,0,0,0,0.137809208,0,0,0,0,0,0,0
TOYOTA 8N0 CK107,112,86.1,48.27,28.15,21.05,-8.16,-7.01,-5.23,-4.22,-3.87,-10.49,-9.94,-8.28,-8.17,-8.77,13.73,13.26,10.24,30.85,26.3,21.67,7.41,25.05062364,0,0,42.56420619,0,0,0,8.600608685,0.067249798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55335098,0,0,0,2.793278528,0,0,0.375577757,0,1.226812708,7.768291715,0,0,0,0,0,0
ROVER LES CK000,49.57,37.13,18.83,8.31,5.03,-1.34,-1.02,-0.64,-0.48,-0.21,-0.18,0.65,0.63,-0.84,-1.26,22.55,20.25,19.37,32.74,24.33,12.79,6.14,2.841412961,0,0,0,0,0,0,58.81248615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43791601,0,0,0,0,0,0,0,0,0,13.97968313,0,0.377544269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797962761,0,0,0,1.562920253,2.19007447,0,0,0,0,0,0
SUBARU M4Y CK000,79.38,57.06,28.05,13.7,9.17,1.27,1.22,0.88,0.55,0.34,12.26,9.18,4.08,-0.38,-1.96,12.13,10.46,9.16,32.41,29.74,22.15,8.34,0,0,0,0,0,19.67328783,0,64.20146508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.003818877,0,0,2.792702353,0,0,0,0,0,0,0,0,1.721117118,0,0,0,0,0,0.555010797,0,1.308816433,0,0.743781509,0,0,0,0,0,0,0
