SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
33101,0.999,138.95499999999998,127.66,98.295,56.48,34.625,26.93,7.99,7.115,6.095000000000001,4.640000000000001,5.34,6.3100000000000005,4.5600000000000005,3.86,2.495,1.97,2.78,3.385,9.2,8.1,6.59,5.045,6.02,7.16,29.700000000000003,28.485,22.245,22.97,27.47,28.235,6.015000000000001,6.515000000000001,5.550000000000001,17.15,24.49,20.295,5.31,93.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33102,0.996,131.25,120.8,92.46,52.56,31.425,23.72,15.445,13.81,11.805,8.865,9.345,10.48,8.3,7.24,5.45,4.195,4.945,5.65,17.53,15.59,13.0,9.805,10.575,11.905,28.26,27.66,24.775,25.33,27.89,28.355,6.220000000000001,6.31,5.835,17.71,25.43,20.325000000000003,5.67,88.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33103,0.996,125.255,115.07,87.255,48.885000000000005,28.69,21.37,21.945,19.745,16.825000000000003,12.53,12.475,13.415,11.295,10.0,7.805,5.975,6.550000000000001,7.25,24.675,22.135,18.545,13.88,14.085,15.25,27.235,26.86,24.89,25.48,27.695,28.38,6.2,6.035,5.68,19.085,26.07,20.75,5.965,82.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33104,0.993,114.29,104.8,78.57,43.120000000000005,24.835,18.365,32.345,29.425,24.985,18.34,17.0,17.285,15.835,14.18,11.42,8.615,8.905000000000001,9.5,36.01,32.665,27.47,20.265,19.19,19.72,26.085,25.725,24.56,25.165,27.645,28.79,6.404999999999999,5.99,5.38,21.54,26.49,20.270000000000003,6.48,71.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33105,0.997,91.55,84.02,61.655,32.485,18.64,14.05,52.615,48.38,40.11,27.835,23.245,22.01,24.955,22.75,18.525,13.43,12.835,12.885,58.235,53.46,44.18,30.91,26.555,25.505,25.38,25.18,24.79,25.76,28.915,30.34,6.45,5.5600000000000005,4.745,24.915,26.715,20.365,6.665,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33106,0.993,60.535,54.845,38.135,19.045,12.3,10.365,61.865,57.65,46.565,31.725,25.925,23.97,30.43,28.405,23.380000000000003,17.21,14.15,12.335,68.94,64.265,52.105,36.095,29.535,26.955,26.19,26.235,26.665,28.48,28.62,27.24,7.635,4.08,3.495,31.845,25.21,15.795000000000002,6.24,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34301,0.999,137.565,126.23,96.815,55.525,34.005,26.63,9.15,8.205,7.285,5.81,6.515000000000001,7.455,3.475,2.89,1.7,1.33,2.065,2.615,9.79,8.7,7.48,5.96,6.835,7.905,20.79,19.41,13.125,12.865,17.585,19.32,6.21,6.45,6.07,17.34,24.880000000000003,19.72,5.66,94.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34302,0.996,128.345,118.07,90.385,51.42,30.95,23.770000000000003,16.979999999999997,15.3,13.485,10.54,10.875,11.925,6.09,5.285,3.865,3.045,3.85,4.609999999999999,18.04,16.185000000000002,14.025,10.97,11.53,12.785,19.73,19.055,15.98,16.11,19.505000000000003,21.125,6.55,6.28,5.975,19.520000000000003,26.285,20.395000000000003,6.265000000000001,89.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34303,0.996,120.615,111.25,84.815,47.94,28.585,21.805,23.15,21.05,18.445,14.28,14.05,14.92,7.984999999999999,7.109999999999999,5.535,4.375,5.215,6.105,24.485,22.22,19.26,14.935,14.99,16.119999999999997,19.04,18.67,16.695,17.035,20.38,22.255,6.885,6.455,6.525,20.97,27.135,20.35,6.68,84.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34304,0.992,109.45,100.995,75.83000000000001,41.915,24.935,19.16,33.045,30.235,26.16,19.785,18.29,18.555,11.215,10.075,8.165,6.495,7.295,8.195,34.895,31.87,27.405,20.825,19.685,20.285,18.745,18.425,17.335,18.18,21.745,23.84,6.805,6.27,5.01,23.485,26.875,21.165,7.12,74.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34305,0.996,85.19,78.47999999999999,57.675,31.08,19.3,15.53,52.415,48.23,40.325,28.7,24.175,23.25,18.76,17.11,14.175,10.9,11.035,11.58,55.675,51.18,42.745,30.7,26.575,25.975,19.69,19.53,19.37,20.795,24.535,26.48,7.07,5.484999999999999,4.46,27.415,27.06,19.285,6.955,49.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34306,0.998,53.26,48.44499999999999,33.86,18.415,13.88,12.45,57.120000000000005,53.28,43.555,31.355,27.055,25.825000000000003,23.125,21.645000000000003,18.4,14.705,13.75,13.005,61.625,57.505,47.28,34.635,30.35,28.915,22.045,22.11,22.9,25.125,26.94,26.73,7.984999999999999,4.115,2.62,33.54,22.755,12.735,5.744999999999999,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35601,0.995,128.935,119.455,93.255,56.1,36.21,28.775,7.02,6.6,7.404999999999999,9.975,13.78,15.965,-6.4,-5.6,-4.23,0.54,4.81,6.59,9.5,8.66,8.53,9.995,14.6,17.275,317.655,319.69,330.24,3.085,19.245,22.44,6.475,5.705,5.07,19.455,24.39,17.295,5.985,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35602,0.993,116.09,107.61,84.095,51.79,34.895,28.155,12.535,11.91,13.255,17.415,22.45,24.8,-9.735,-8.425,-5.375,2.58,10.17,13.505,15.875,14.59,14.305,17.605,24.645,28.245,322.155,324.73,337.92499999999995,8.43,24.375,28.565,6.565,5.265,4.395,21.44,23.27,14.935,6.41,94.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35603,0.99,106.05,98.835,77.095,48.43,34.14,28.115,17.0,16.19,18.025,23.23,28.57,30.64,-11.695,-10.03,-5.6,4.86,14.95,19.345,20.630000000000003,19.045,18.875,23.735,32.245000000000005,36.24,325.475,328.22,342.745,11.82,27.62,32.275,6.115,4.83,3.4850000000000003,21.83,21.26,12.21,6.515000000000001,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35604,0.983,89.04499999999999,83.315,65.545,43.595,33.605000000000004,28.85,24.505,23.445,26.025,32.1,36.825,37.98,-12.78,-10.59,-4.1,9.695,22.625,28.06,27.64,25.725,26.345,33.535,43.215,47.22,332.445,335.68,351.045,16.8,31.565,36.46,5.96,3.985,2.975,23.770000000000003,19.11,9.19,6.34,84.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35605,0.993,63.13,59.945,48.84,37.255,33.255,30.41,37.44,36.505,40.015,45.2,47.555,47.22,-7.75,-5.16,4.795,22.74,37.02,41.925,38.235,36.87,40.3,50.595,60.265,63.15,348.305,351.945,6.84,26.705,37.9,41.6,5.88,2.59,2.2750000000000004,26.415,12.775,3.98,5.0600000000000005,64.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35606,0.996,41.49,40.370000000000005,37.47,34.925,34.620000000000005,33.035,53.74,53.895,55.635000000000005,56.74,57.03,55.625,17.755,20.62,32.29,46.91,53.01,52.515,56.605,57.705,64.325,73.62,77.86500000000001,76.495,18.28,20.94,30.130000000000003,39.58,42.91,43.355,3.34,1.15,1.78,23.37,1.5,1.03,2.185,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37101,0.996,133.6,123.21,95.53,55.14,33.605000000000004,26.07,14.735,13.305,11.375,8.6,9.35,10.59,-2.72,-2.74,-3.015,-1.765,-0.225,0.61,14.985,13.58,11.77,8.780000000000001,9.35,10.605,349.535,348.36,345.155,348.415,358.61,3.285,6.1,6.220000000000001,6.395,17.56,25.87,19.905,5.37,94.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37102,0.998,124.055,114.645,88.09,50.035,29.8,22.805,26.275,23.895,20.42,15.27,15.18,16.195,-3.2750000000000004,-3.335,-3.305,-1.485,1.25,2.925,26.48,24.130000000000003,20.685,15.345,15.23,16.46,352.9,352.06,350.805,354.44,4.71,10.245,6.494999999999999,6.305,5.825,19.025,25.485,20.380000000000003,5.76,88.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37103,0.999,116.855,107.93,81.965,45.78,27.045,20.75,35.375,32.379999999999995,27.55,20.325,19.15,19.635,-2.97,-3.09,-2.87,-0.6950000000000001,2.8600000000000003,5.09,35.5,32.53,27.7,20.34,19.36,20.28,355.2,354.55,354.06,358.045,8.5,14.525,6.125,5.91,5.525,19.87,26.17,19.03,5.904999999999999,82.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37104,0.999,104.305,96.495,72.57,39.89,23.795,18.62,49.015,45.165,38.095,27.525,24.4,24.08,-0.75,-0.96,-0.63,1.63,6.055,8.835,49.02,45.175,38.095,27.575,25.14,25.655,359.12,358.78,359.04999999999995,3.39,13.935,20.14,6.220000000000001,5.98,4.994999999999999,22.535,25.68,19.14,6.115,71.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37105,0.998,85.09,78.025,56.91,30.35,19.105,16.045,68.71000000000001,63.815,52.63,36.5,30.28,28.935,7.959999999999999,7.51,7.355,8.41,12.715,15.19,69.16499999999999,64.255,53.14,37.46,32.845,32.685,6.605,6.715,7.955,12.975,22.775,27.695,6.15,4.71,3.655,25.05,24.66,17.479999999999997,5.71,45.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37106,0.992,57.14,52.215,37.045,20.465,15.62,14.52,76.64500000000001,71.535,57.35,40.18,34.364999999999995,32.864999999999995,25.465,24.225,21.665,19.255000000000003,19.075,18.555,80.765,75.525,61.305,44.56,39.305,37.74,18.38,18.71,20.695,25.605,29.03,29.44,5.96,3.125,2.775,28.605,21.125,14.760000000000002,4.345,12.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38401,0.998,139.60000000000002,128.59,99.18,57.49,35.92,28.61,11.985,10.84,9.535,7.62,8.54,9.775,-6.965,-6.445,-6.275,-4.27,-3.3,-3.4400000000000004,13.864999999999998,12.61,11.41,8.73,9.155,10.36,329.84000000000003,329.28,326.65,330.75,338.86,340.61,6.015000000000001,6.175,5.465,17.235,24.31,18.315,5.215,95.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38402,0.996,132.48000000000002,122.555,94.14,54.400000000000006,33.83,26.675,21.36,19.47,17.27,13.87,14.38,15.585,-11.035,-10.245,-9.455,-6.23,-4.16,-3.72,24.04,22.0,19.69,15.205,14.97,16.025,332.685,332.245,331.295,335.815,343.87,346.58,6.09,6.13,4.945,18.23,23.975,18.4,5.635,90.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38403,0.998,125.915,116.3,89.36000000000001,51.82,32.375,25.51,29.265,26.795,23.74,19.07,18.88,19.755,-13.935,-12.985,-11.59,-7.390000000000001,-4.3,-3.255,32.415,29.78,26.42,20.450000000000003,19.365,20.02,334.54,334.14,333.98,338.815,347.165,350.655,6.51,6.095000000000001,5.09,19.44,24.665,18.315,5.92,85.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38404,0.986,116.68,107.92,82.095,47.445,30.3,24.27,40.365,37.31,33.085,26.515,24.8,24.87,-17.005,-15.925,-13.75,-8.235,-3.54,-1.61,43.8,40.56999999999999,35.825,27.765,25.055,24.925,337.15,336.88,337.435,342.75,351.88,356.3,6.41,5.58,4.29,21.595,24.315,17.225,6.345000000000001,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38405,0.984,97.19,89.825,67.19,39.445,27.185,22.84,57.105,53.63,47.35,37.915000000000006,33.585,32.24,-18.275,-17.05,-13.25,-5.335,1.45,4.245,59.955,56.275,49.175,38.285,33.62,32.52,342.25,342.355,344.365,351.99,2.465,7.505,6.385,4.279999999999999,3.375,25.04,23.29,13.21,6.765000000000001,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38406,0.994,67.18,61.825,46.120000000000005,30.53,25.36,23.2,59.495000000000005,57.425,52.425,45.22,41.675,40.16,-8.225,-6.735,-1.08,8.89,14.715,16.195,60.06,57.82,52.44,46.085,44.19,43.305,352.13,353.305,358.82,11.12,19.45,21.955,7.875,3.045,2.225,31.62,16.23,6.675000000000001,6.82,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
41001,0.997,139.925,128.87,99.81,57.620000000000005,35.375,27.84,10.87,9.89,8.655,6.795,7.82,9.065,-7.28,-6.715,-6.815,-5.39,-5.355,-5.905,13.085,11.96,11.02,8.67,9.48,10.815,326.195,325.84000000000003,321.785,321.58000000000004,325.605,326.92,6.21,6.445,5.9,16.35,25.54,20.305,5.395,94.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
41002,0.993,133.60000000000002,123.07,94.945,54.245000000000005,32.42,24.86,21.025,19.07,16.61,12.755,13.454999999999998,14.775,-13.02,-12.015,-11.26,-8.5,-7.83,-8.059999999999999,24.73,22.54,20.065,15.325,15.565,16.83,328.235,327.785,325.875,326.315,329.795,331.385,5.885,6.695,6.355,18.135,25.125,20.585,5.67,89.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
