(renkenv310) C:\Users\TAC7\Desktop\RenkAI>python optimize_model.py
📂 Veri önbelleğe alınıyor...
🚀 Hiperparametre Optimizasyonu Başlıyor... (Cihaz: cuda)
⚠️ Bu işlem uzun sürebilir. Arkana yaslan ve kahve al.
🧬 Deneme: LR=0.00716, Hid=196, Emb=32, Drop=0.06, Batch=117 -> 📉 DeltaE: 4.5006
🧬 Deneme: LR=0.00351, Hid=36, Emb=16, Drop=0.02, Batch=52 -> 📉 DeltaE: 4.4856
🧬 Deneme: LR=0.00268, Hid=209, Emb=29, Drop=0.01, Batch=52 -> 📉 DeltaE: 4.1696
🧬 Deneme: LR=0.00093, Hid=171, Emb=10, Drop=0.26, Batch=84 -> 📉 DeltaE: 6.6595
🧬 Deneme: LR=0.00388, Hid=199, Emb=44, Drop=0.04, Batch=34 -> 📉 DeltaE: 4.3693
🧬 Deneme: LR=0.00248, Hid=112, Emb=31, Drop=0.04, Batch=107 -> 📉 DeltaE: 4.5108
🧬 Deneme: LR=0.00206, Hid=40, Emb=45, Drop=0.12, Batch=48 -> 📉 DeltaE: 5.4920
🧬 Deneme: LR=0.00268, Hid=250, Emb=36, Drop=0.16, Batch=96 -> 📉 DeltaE: 4.5062
🧬 Deneme: LR=0.00013, Hid=43, Emb=22, Drop=0.00, Batch=27 -> 📉 DeltaE: 9.4251
🧬 Deneme: LR=0.00364, Hid=39, Emb=31, Drop=0.06, Batch=65 -> 📉 DeltaE: 4.8521
🧬 Deneme: LR=0.00461, Hid=135, Emb=33, Drop=0.01, Batch=62 -> 📉 DeltaE: 4.2778
differential_evolution step 3: f(x)= 4.030531406402588
🧬 Deneme: LR=0.00397, Hid=182, Emb=19, Drop=0.07, Batch=66 -> 📉 DeltaE: 4.9136
🧬 Deneme: LR=0.00385, Hid=121, Emb=30, Drop=0.02, Batch=48 -> 📉 DeltaE: 4.1600
🧬 Deneme: LR=0.00186, Hid=91, Emb=22, Drop=0.08, Batch=122 -> 📉 DeltaE: 5.2132
🧬 Deneme: LR=0.00357, Hid=236, Emb=43, Drop=0.00, Batch=124 -> 📉 DeltaE: 3.9034
